순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,주연 배우,주연 배우 코드,조연 배우,조연 배우 코드,감독 코드
1239,트럭,권형진,싸이더스,,싸이더스,2008-09-25,개봉영화,장편,한국,257,"3,668,218,000",540485,"956,725,000","132,054",범죄,청소년관람불가,일반영화,"유해진, 진구, 김설우","10054128, 10070417, 20150766","김준배, 경규원, 장준녕","10005767, 20133476, 20236946",10002567
1244,국제수사,김봉한,영화사장춘,,쇼박스,2020-09-29,개봉영화,장편,한국,"1,074","4,496,549,760",537470,"868,003,360","103,185",코미디,15세이상관람가,일반영화,"곽도원, 김대명, 김희원, 김상호","20127192, 20200886, 10006545, 10004448","이유진, 신승환, 신동미, 이한서, 김창옥, 강채민, 이찬유, 이규영, 김채준, 성혁","20330932, 10040445, 10040291, 20287457, 20347633, 20355596, 20225790, 20355597, 20355632, 10035895",10004369
1245,이태원 살인사건,홍기선,선필름,,쇼박스,2009-09-10,개봉영화,장편,한국,236,"4,023,152,210",537075,"1,232,094,000","156,251",범죄,15세이상관람가,독립/예술영화,"정진영, 장근석, 신승환, 오광록, 고창석","10062279, 10060065, 10040445, 10050043, 10001779","송영창, 김중기, 최일화, 박수영, 박선우","10037131, 10005801, 10072645, 20158628, 20270849",10089413
1246,청풍명월(淸風明月),김의석,화이트리엔터테인먼트,,시나브로엔터테인먼트,2003-07-16,개봉영화,장편,한국,0,0,536258,0,"191,600",액션,15세관람가,일반영화,"최민수, 조재현, 김보경, 이종수","10072250, 10066929, 10004317, 10057386","강신일, 문정현, 유재현, 유정현, 이환구, 박보연, 이승남, 정인숙, 이무현, 기주봉, 조상건, 이봉규, 권혁호, 조용준, 원애리, 조혜선","10000736, 20146405, 20152179, 20063702, 20152612, 20154832, 20158880, 20159456, 20145346, 10003307, 10065876, 10055683, 10002562, 10066745, 10052490, 20182890",10005382
1249,미쓰 홍당무,이경미,모호필름,,벤티지홀딩스,2008-10-16,개봉영화,장편,한국,290,"3,564,401,608",532324,"1,378,528,500","197,039",드라마,청소년관람불가,일반영화,"공효진, 이종혁, 서우, 황우슬혜, 방은진","10001919, 10057411, 10035507, 10090203, 10029969","배성우, 서보익, 라미란","20136191, 10035420, 10013826",10054739
1251,사이코메트리,권호영,"엠픽처스, 파워이엔티, 게이트픽쳐스",,씨제이이엔엠,2013-03-07,개봉영화,장편,한국,429,"3,964,769,129",531953,"1,133,052,129","145,312",미스터리,청소년관람불가,일반영화,"김강우, 김범, 박혁권, 이준혁, 박성웅, 서영화","10003507, 10004252, 10029480, 10057492, 10028773, 20067819","서현철, 유승목, 이솜, 김기천","20170235, 10053771, 20110323, 10003728",10002500
1253,침입자,손원평,비에이엔터테인먼트,,에이스메이커무비웍스,2020-06-04,개봉영화,장편,한국,"1,365","4,806,314,000",531212,"1,029,368,660","110,923",미스터리,15세이상관람가,일반영화,"송지효, 김무열, 김무열","20066637, 10004099, 10004099","예수정, 허준석, 최원, 곽성은, 김지우, 박민하, 백승환, 서현우, 소회정, 양말복, 예수정, 윤서진, 이가현, 최상훈, 최영우, 이제연, 장성윤","10049950, 10088450, 20220443, 20336012, 20165517, 20368659, 20368927, 20221406, 20369097, 20346193, 10049950, 20343709, 20364752, 20154408, 20369492, 20369762, 20370034",10036887
1254,사랑을 놓치다,추창민,시네마서비스,,시네마서비스,2006-01-26,개봉영화,장편,한국,0,0,529138,0,"183,270",멜로/로맨스,15세관람가,일반영화,"설경구, 송윤아, 이기우","10035772, 10037157, 10054943","김동영, 장항선, 전배수, 황석정","10003953, 10060605, 10061276, 10090114",10072983
1255,이상한 나라의 수학자,박동훈,조이래빗,,쇼박스,2022-03-09,개봉영화,장편,한국,"1,357","4,996,302,520",528904,"1,352,417,450","142,199",드라마,12세이상관람가,일반영화,"최민식, 김동휘, 박해준, 박병은, 조윤서","10072251, 20331172, 20161741, 10028660, 20334906","탕준상, 김희정, 강말금, 김소숙, 최재섭, 주예린, 이주한","10079524, 10006557, 20307730, 20112009, 10072659, 20381335, 20314646",10028577
1256,키다리 아저씨,공정식,"웰메이드엔터테인먼트, 유빈픽쳐스",,CJ ENM,2005-01-14,개봉영화,장편,한국,0,0,528817,0,"158,207",드라마,12세관람가,일반영화,"하지원, 연정훈, 신이, 김정난","10087280, 10049825, 10040551, 10005552","정준하, 손민경, 조원경","10062239, 10036817, 20134283",10001906
