순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,주연 배우,주연 배우 코드,조연 배우,조연 배우 코드,감독 코드
2967,흑심모녀,조남호,이룸영화사,,쇼박스,2008-06-12,개봉영화,장편,한국,177,"386,362,000",59624,"124,965,000","18,372",가족,12세이상관람가,일반영화,"심혜진, 김수미, 이상우, 이다희","10040919, 10004748, 20111447, 20111028",이계인,10054786,10065518
2972,태일이,홍준표,"명필름, 스튜디오루머, 전태일재단, 유한회사 질라라비, 영화 <태일이> 1970인 제작위원",,리틀빅픽쳐스,2021-12-01,개봉영화,장편,한국,458,"491,149,590",59215,"176,894,890","22,685",애니메이션,전체관람가,독립/예술영화,"장동윤, 염혜란, 진선규, 박철민, 권해효, 태인호","20283489, 10049864, 20137049, 20110935, 10002548, 20127332","정예진, 신정윤, 안동구, 강태우, 이나영","20256372, 20350856, 20344124, 20175720, 20347172",20167000
2977,소공녀,전고운,"광화문시네마, 모토",,CGV아트하우스,2018-03-22,개봉영화,장편,한국,284,"469,303,200",58653,"236,153,600","28,592",멜로/로맨스,15세이상관람가,독립/예술영화,"이솜, 안재홍","20110323, 10043631","김예은, 최덕문, 조수향, 강진아, 이성욱, 김국희, 김민경","20196769, 10072168, 20217026, 20238069, 20313792, 20327973, 10004169",20112542
2983,순종,"김동민, 이주훈",(재)CBS,,"(재)CBS, 영화사 안다미로",2016-11-17,개봉영화,장편,한국,104,"414,028,200",58027,"118,389,600","14,827",다큐멘터리,전체관람가,독립/예술영화,"최강희, 최수종, 김은혜","10072075, 10072399, 20246330",김영화,20246331,"20246309, 20246329"
2984,극장판 미니특공대: 햄버거괴물의 습격,이영준,삼지애니메이션,,리틀빅픽쳐스,2020-09-30,개봉영화,장편,한국,414,"466,063,620",57883,"77,247,430","9,126",애니메이션,전체관람가,일반영화,"엄상현, 양정화, 이소영, 전태열, 신용우","10047326, 20162319, 20321933, 20205026, 20125887","남도형, 양소연, 홍진욱, 성완경, 정영웅","20113125, 20363316, 10089884, 10088978, 20242186",20186877
2989,사과,강이관,영화사청어람,,영화사청어람,2008-10-16,개봉영화,장편,한국,111,"379,387,469",57525,"194,098,000","28,179",드라마,15세이상관람가,독립/예술영화,"문소리, 이선균","10026732, 10055970","강래연, 주진모, 강길삼, 최명수, 박미현","10000569, 20111954, 20129229, 10072210, 10028629",10000818
2997,하하하,홍상수,영화제작전원사,,스폰지이엔티,2010-05-05,개봉영화,장편,한국,25,"435,417,823",57234,"331,959,700","43,190",드라마,청소년관람불가,독립/예술영화,"김상경, 유준상, 문소리, 예지원, 김강우, 윤여정, 기주봉, 김규리, 김영호","10004396, 10053981, 10026732, 10049959, 10003507, 10054391, 10003307, 20112163, 10005043",이상철,20151607,10089497
2998,달빛 길어올리기,임권택,(재)전주국제영화제조직위원회,,"쇼박스, 씨제이이엔엠, 롯데쇼핑롯데엔터테인먼트",2011-03-17,개봉영화,장편,한국,128,"362,535,000",57186,"98,990,000","13,399",드라마,15세이상관람가,일반영화,"박중훈, 강수연, 예지원, 김동호","10029293, 10000709, 10049959, 10003995","송길한, 윤태호, 권현상, 성지훈, 민병록, 이경주, 김병춘, 권태원, 김기천","10037045, 20131349, 20115762, 20134604, 10027794, 20162879, 10004308, 20143709, 10003728",10058483
2999,봄 여름 가을 겨울 그리고 봄,김기덕,"엘제이필름, 판도라 필름프로덕션",,코리아픽쳐스,2003-09-19,개봉영화,장편,한국,0,,57000,,"30,000",드라마,15세관람가,독립/예술영화,"오영수, 김기덕, 김영민, 서재경, 차수아","10050577, 10003696, 10004973, 10035559, 20239266","지대한, 김종호 , 송민영, 김정영","10069842, 10005721, 20124857, 20113318",10003696
3000,밤의 해변에서 혼자,홍상수,영화제작전원사,,"영화제작전원사, 콘텐츠판다",2017-03-23,개봉영화,장편,한국,133,"438,976,092",56995,"275,454,892","34,627",드라마,청소년관람불가,독립/예술영화,"김민희, 정재영","10004236, 10062184","서영화, 권해효, 송선미, 문성근, 안재홍, 박예주, 신선, 공민정, 안선영, 강태우, 한재이","20067819, 10002548, 10037099, 10026716, 10043631, 20178582, 20287749, 20265230, 20147123, 20175720, 20372624",10089497
3001,2월 29일 - 어느날 갑자기 첫번째 이야기,정종훈,"소프트랜드 영상 사업부 에이포스트 픽쳐스, CJ ENM",,CJ ENM,2006-07-21,개봉영화,장편,한국,0,0,56958,0,"28,210",공포(호러),15세관람가,일반영화,"박은혜, 임호, 박은혜, 송휘욱","10029066, 20154015, 10029066, 20130134","백은진, 김강식, 최건, 유성권, 최선애, 오형진, 이대우","20143013, 10003503, 20149016, 20110881, 20154550, 10051004, 20162977",20031968
3003,극장판 프랭키와 친구들: 생명의 나무,박정오,프랭키영화문화산업전문,,예지림엔터테인먼트,2016-04-13,개봉영화,장편,한국,258,"410,518,600",56835,"103,400,500","13,068",애니메이션,전체관람가,일반영화,이소은,20254138,박정오,20134495,20134495
3005,신암행어사,"안태근, 조지 시무라",캐릭터플랜,,시네마서비스,2004-11-26,개봉영화,장편,한국,0,0,56709,0,"20,345",애니메이션,15세관람가,일반영화,"구자형, 지성, 엄상현, 배정미","10002239, 10069957, 10047326, 10030218",배정민,20142051,"10043790, 10067141"
3013,우리집,윤가은,아토,,롯데컬처웍스롯데엔터테인먼트,2019-08-22,개봉영화,장편,한국,147,"444,391,340",56087,"252,210,120","29,807",드라마,전체관람가,독립/예술영화,"김나연, 김시아, 주예림, 안지호, 임지형, 설의석","20327452, 20308909, 20327416, 20318852, 20331579, 20344794","최정인, 이주원, 김준범, 김소은, 정은경, 황시연","10072279, 20217606, 20341754, 20342708, 20322893, 20345050",20113672
3014,태풍태양,정재은,필름매니아,,쇼이스트,2005-06-02,개봉영화,장편,한국,0,0,55970,0,"22,027",드라마,12세관람가,일반영화,"김강우, 천정명, 조이진","10003507, 10071885, 10066893","김도형, 서상원, 김성훈, 송영호, 최정애, 박태영, 이명렬, 이사무엘, 김성우, 장석영, 장지혜, 장지훈, 장현수, 김성욱, 최진호, 김동원","10003920, 20111061, 10004663, 20125146, 20132464, 20138782, 20144660, 20112662, 20152729, 20155015, 20155079, 20155080, 20155101, 20152758, 20134082, 20115472",10062188
3020,고녀석 맛나겠다2 : 함께라서 행복해,"최경석, 노나카 카즈미",미디어캐슬,,리틀빅픽쳐스,2015-07-29,개봉영화,장편,한국,142,"384,464,000",55619,"115,174,700","16,105",애니메이션,전체관람가,독립/예술영화,"엄상현, 시영준, 안장혁","10047326, 10040160, 20191157","정주원, 안효민, 이경태, 이경태","20218982, 20221054, 20221893, 20221893","20191153, 20188032"
3024,그물,김기덕,김기덕 필름,,넥스트엔터테인먼트월드(NEW),2016-10-06,개봉영화,장편,한국,381,"416,593,300",55342,"112,920,600","14,136",드라마,15세이상관람가,독립/예술영화,"류승범, 이원근, 박지일","10019067, 20162795, 10029329","김영민, 최귀화, 안지혜, 이나라, 김동영, 양현민","10004973, 20115207, 10043765, 10057015, 20322778, 20174970",10003696
3027,빅뱅 메이드,변진호,와이지엔터테인먼트,,씨제이 씨지브이(CJ CGV),2016-06-30,개봉영화,장편,한국,56,"464,727,700",55227,"214,369,000","24,994",다큐멘터리,12세이상관람가,일반영화,"권지용, 태양, 최승현, 대성, 승리","10069845, 20111907, 10072431, 20111908, 10039724",,,20238366
3028,내 눈에 콩깍지,이장수,삼화네트웍스,,CJ ENM,2009-11-05,개봉영화,장편,한국,128,"405,424,788",55132,"128,419,000","16,765",멜로/로맨스,12세이상관람가,일반영화,"이지아, 강지환","10057553, 10000877","신현탁, 한수빈, 장지은, 윤정원","10040691, 10087547, 20155077, 20155887",10057171
3033,최면,최재훈,스마일이엔티,,스마일이엔티,2021-03-24,개봉영화,장편,한국,506,"501,754,120",54927,"93,594,620","10,091",공포(호러),15세이상관람가,독립/예술영화,"이다윗, 조현, 김도훈, 남민우, 김남우, 전병윤, 오유경","10055073, 20373096, 20327417, 20335741, 20336529, 20375172, 20158161","김민준, 문호진, 박광복","20367352, 20147969, 20150541",20279209
3040,잡아야 산다,오인천,더퀸디앤엠 주식회사,,오퍼스픽쳐스(유),2016-01-07,개봉영화,장편,한국,219,"410,361,400",54450,"91,032,800","11,245",코미디,15세이상관람가,일반영화,"김승우, 김정태, 한상혁","10004823, 10005617, 20212946","신강우, 김민규, 문용석, 최호중, 이해준, 조창근, 서범식","20227827, 20227828, 20227829, 20190648, 20231346, 20231347, 20145023",20188088
3041,왓칭,김성기,스토리공감,,리틀빅픽쳐스,2019-04-17,개봉영화,장편,한국,488,"456,558,262",54410,"100,830,552","11,564",공포(호러),15세이상관람가,일반영화,"강예원, 이학주","20066563, 20223186","주석태, 임지현, 김노진, 주석태","20320812, 20320769, 20334215, 20320812",20302929
3046,시맨틱 에러: 더 무비,김수정,주식회사 왓챠,,주식회사 왓챠,2022-08-31,개봉영화,장편,한국,57,"598,545,000",54016,"360,420,500","30,904",멜로/로맨스,12세이상관람가,일반영화,"박서함, 박재찬","20384383, 20384365","송지오, 김노진, 김원기, 최수견, 차재훈, 김건희, 김진성","20380098, 20334215, 20385527, 20385546, 20385528, 20385547, 20385548",20384308
3047,산상수훈,유영의,그란,,"이언픽쳐스, 그란",2017-12-07,개봉영화,장편,한국,71,"408,105,790",54004,"139,065,190","18,131",드라마,전체관람가,독립/예술영화,백서빈,20136860,"최이선, 정준영, 오경원, 탁우석, 박창준, 최현우, 설준수, 안순동","20281370, 20281389, 20281371, 20166593, 20281390, 20274149, 20281391, 20281331",20281369
3049,화성으로 간 사나이,김정권,디토엔터테인먼트,,영화사청어람,2003-05-16,개봉영화,장편,한국,0,0,53838,0,"18,237",드라마,12세관람가,일반영화,"신하균, 김희선, 김민준","10040665, 10006529, 10004220","박소현 , 서연주, 김상섭, 유창수, 윤종환, 윤지헌, 이원균, 조덕현","10028826, 20145576, 20147675, 20152618, 20156108, 20156387, 20162792, 10065617",10005546
3056,길위에서,이창재,비트윈픽처스,,영화사 백두대간,2013-05-23,개봉영화,장편,한국,23,"361,561,500",53500,"182,604,500","25,751",다큐멘터리,전체관람가,독립/예술영화,임소연,10058638,,,10057682
3064,블랙 가스펠,히즈엠티 선교회,스토리셋,,넥스트엔터테인먼트월드(NEW),2013-11-14,개봉영화,장편,한국,143,"364,990,500",52852,"200,172,000","27,504",드라마,전체관람가,독립/예술영화,"양동근, 정준, 김유미, 박수용","10046888, 10062233, 10005231, 20158632",김효식,20188480,20177881
3067,인생은 뷰티풀: 비타돌체,"김선형, 오윤동",씨제이포디플렉스 주식회사,,"씨제이 씨지브이(CJ CGV), 씨제이포디플렉스 주식회사",2022-09-07,개봉영화,장편,한국,107,"1,661,528,500",52746,"644,010,000","19,768",다큐멘터리,전체관람가,일반영화,김호중,20357033,,,"20385088, 20203375"
3071,머니백,허준형,젠픽쳐스,,리틀빅픽쳐스,2018-04-12,개봉영화,장편,한국,472,"411,511,600",52618,"105,898,500","12,994",액션,15세이상관람가,일반영화,"김무열, 박희순, 이경영, 전광렬, 임원희, 오정세, 김민교","10004099, 10029595, 10054755, 10061222, 10058708, 10050734, 10004171",이익준,20162224,20238387
3072,폭풍전야,조창호,오퍼스픽쳐스(유),,성원아이컴,2010-04-01,개봉영화,장편,한국,134,"393,501,207",52597,"162,652,500","20,740",드라마,청소년관람불가,일반영화,"김남길, 황우슬혜, 이재민","10003788, 10090203, 20165025","정윤민, 신소율, 윤제문","10062078, 20111744, 10054493",10067366
3085,소중한 날의 꿈,"안재훈, 한혜진",연필로명상하기,,에이원엔터테인먼트,2011-06-23,개봉영화,장편,한국,128,"360,928,100",52010,"188,132,100","26,312",애니메이션,전체관람가,독립/예술영화,"박신혜, 오연서, 송창의","10028892, 10050563, 10037254","신정희, 박진희, 조효민, 이태연","20133346, 20138313, 20141591, 20164073","20111258, 20112027"
3098,킬 미,양종현,싸이더스,,싸이더스,2009-11-05,개봉영화,장편,한국,172,"390,480,657",51304,"112,069,500","13,852",멜로/로맨스,청소년관람불가,일반영화,"신현준, 강혜정","10040687, 10000955","장문석, 김영민","20166665, 10004973",10047074
3102,미안해 사랑해 고마워,전윤수,타임박스엔터테인먼트,,쇼박스,2015-10-28,개봉영화,장편,한국,344,"359,247,800",51207,"106,619,300","14,482",드라마,15세이상관람가,일반영화,"지진희, 김성균, 성유리, 이계인","10070224, 20127194, 10035868, 10054786","김영철, 곽지혜, 서강준, 김수연, 김원진, 유혜인, 김재화, 정은표, 이주연, 임현성","10005030, 20215426, 20211008, 20227262, 20227331, 20231447, 10005532, 10062107, 20231786, 10058906",10061405
3105,서울이 보이냐,송동윤,라인픽처스,,시네마서비스,2008-05-08,개봉영화,장편,한국,125,"309,567,000",50956,"48,727,000","7,706",가족,전체관람가,일반영화,"유승호, 오수아, 이창훈, 김유정","10053782, 10050447, 10057691, 10005251","김경란, 강길남, 홍민기, 박상하","10003526, 20129228, 20130460, 20155799",10037058
3106,두 번의 결혼식과 한 번의 장례식,김조광수,"청년필름, 한국게이인권운동단체 친구사이",,영화사 진진,2012-06-21,개봉영화,장편,한국,67,"380,102,144",50905,"239,826,644","30,630",코미디,15세이상관람가,독립/예술영화,"김동윤, 류현경, 송용진, 정애연","10003973, 10019138, 10037146, 10061947","김호연, 장세현, 이승준, 박수영","20166713, 20133623, 10056268, 20158628",10005655
3110,부활: 그 증거,김상철,파이오니아21,,영화사 진진,2020-10-08,개봉영화,장편,한국,111,"419,172,070",50692,"67,857,200","8,358",다큐멘터리,전체관람가,독립/예술영화,"권오중, 이성혜, 이용규, 이어령, 천정은","10002465, 20350654, 20350653, 20350652, 20350633",,,10004440
3112,폴란드로 간 아이들,추상미,보아스필름,,커넥트픽쳐스,2018-10-31,개봉영화,장편,한국,181,"386,723,800",50545,"240,190,800","30,064",다큐멘터리,전체관람가,독립/예술영화,"이송, 추상미, 추상미","20309509, 10072962, 10072962","강동완, 김미나, 김새롬, 이석준, 이온유, 이혜경","20319289, 20319699, 20319777, 20321898, 20321984, 20322501",10072962
3114,더 테너 리리코 스핀토,김상만,모인그룹,,"박수엔터테인먼트, 모인그룹",2014-12-31,개봉영화,장편,한국,185,"391,554,441",50514,"199,819,741","25,656",드라마,12세이상관람가,독립/예술영화,"유지태, 차예련, 이세야 유스케","10054008, 10071147, 10056081",김기현,20142516,10004407
3115,젝스키스 에이틴,,와이지엔터테인먼트,,씨제이 씨지브이(CJ CGV),2018-01-18,개봉영화,장편,한국,25,"364,405,500",50419,"225,891,500","29,333",다큐멘터리,전체관람가,일반영화,"은지원, 이재진, 장수원, 김재덕, 강성훈","10054654, 20296671, 20296566, 20296567, 20296565",,,
3117,다이빙벨,"이상호, 안해룡","아시아프레스, 씨네포트",,시네마달,2014-10-23,개봉영화,장편,한국,20,"348,485,500",50288,"168,295,500","21,332",다큐멘터리,15세이상관람가,독립/예술영화,"이상호, 이종인","20191566, 20165444",,,"20191566, 10043984"
3118,"제자, 옥한흠",김상철,파이오니아21,,주식회사 마운틴픽쳐스,2014-10-30,개봉영화,장편,한국,25,"366,587,200",50274,"126,335,500","16,587",다큐멘터리,전체관람가,독립/예술영화,"권오중, 성유리, 옥한흠","10002465, 10035868, 20246409",,,10004440
3119,비밀,"박은경, 이동하","영화사 도로시, 에스에이치기획",,CGV아트하우스,2015-10-15,개봉영화,장편,한국,305,"369,339,300",50196,"94,697,600","12,167",미스터리,15세이상관람가,일반영화,"성동일, 김유정, 손호준","10035832, 10005251, 10036963","임형준, 서예지, 진경, 남일우","10058925, 20207266, 10070393, 10007577","20066038, 20204806"
3122,도마 안중근,서세원,소스원프로덕션,,소스원프로덕션,2004-09-10,개봉영화,장편,한국,0,0,50000,0,"20,000",드라마,전체관람가,일반영화,유오성,10053861,"고두심, 박정환, 정혜선, 최우혁, 정성모, 강민선","10001486, 20110720, 10062423, 10072532, 10061840, 10000615",10035443
3129,번개맨의 비밀,강유선,"힘컨텐츠, 한국교육방송공사 EBS",,디스테이션,2018-12-06,개봉영화,장편,한국,309,"383,521,050",49751,"72,853,050","8,829",가족,전체관람가,일반영화,"서홍석, 유수호, 최오식, 김수미","20302511, 20302512, 20302529, 20302531","김성웅, 이상철","20319794, 20195568",20311974
3131,살인소설,김진묵,"페퍼민트앤컴퍼니, 리드미컬그린",,"스톰픽쳐스코리아, 페퍼민트앤컴퍼니",2018-04-25,개봉영화,장편,한국,434,"392,591,200",49682,"110,034,500","13,655",스릴러,15세이상관람가,독립/예술영화,"지현우, 오만석, 이나라, 김학철, 조은지","10070252, 10050300, 10057015, 10006194, 10066805","강현욱, 이유준, 최홍일","20317269, 20164087, 10072913",10005905
3145,봄날의 곰을 좋아하세요?,용이,이손필름,,튜브엔터테인먼트,2003-10-24,개봉영화,장편,한국,0,,48402,,"22,818",드라마,12세관람가,일반영화,"배두나, 김남진 ","10030016, 10003801","윤종신, 이얼, 윤지혜","10054500, 10056603, 10054532",10051959
3146,더 킥,"프라챠 핀카엡, 이종석","방콕 필름 스튜디오, (유)더킥컴퍼니",,쇼박스,2011-11-03,개봉영화,장편,한국,153,"331,287,500",48396,"60,436,000","7,865",액션,12세이상관람가,일반영화,"예지원, 나태주, 조재현","10049959, 20114791, 10066929",,,"20114042, 20114792"
3149,데자뷰,고경민,"스톰픽쳐스코리아, 원픽쳐스",,키다리이엔티,2018-05-30,개봉영화,장편,한국,536,"360,833,100",48279,"78,964,200","10,074",미스터리,15세이상관람가,일반영화,"남규리, 이천희, 이규한, 김수영","10007498, 10057706, 10054895, 20180602","정경호, 동현배, 김재범","10061581, 20133500, 20277331",20283049
3150,세븐틴 파워 오브 러브 : 더 무비,오윤동,씨제이포디플렉스 주식회사,,"씨제이포디플렉스 주식회사, CGV ICECON",2022-04-20,개봉영화,장편,한국,151,"965,458,500",48275,"442,907,000","22,147",공연,전체관람가,일반영화,"에스쿱스, 정한, 조슈아, 준, 호시, 원우, 우지, 디에잇, 민규, 도겸, 승관, 버논, 디노","20382257, 20382274, 20382275, 20382276, 20382277, 20382278, 20382258, 20382279, 20382280, 20382281, 20382259, 20382282, 20382260",,,20203375
3151,우리들,윤가은,아토,,엣나인필름,2016-06-16,개봉영화,장편,한국,76,"358,799,960",48223,"219,260,560","27,794",드라마,전체관람가,독립/예술영화,"최수인, 설혜인, 이서연, 강민준","20213906, 20213907, 20213908, 20317200","박혜진, 전석민","20258720, 20259108",20113672
3155,목숨 건 연애,송민규,비에이엔터테인먼트,,오퍼스픽쳐스(유),2016-12-14,개봉영화,장편,한국,393,"361,142,800",47684,"120,507,000","14,834",멜로/로맨스,15세이상관람가,일반영화,"하지원, 천정명, 진백림","10087280, 10071885, 10070491","윤소희, 오정세, 송민정, 조병규","20216506, 10050734, 10037080, 20333254",10037076
3158,잘못된 만남,정영배,씨네라가픽쳐스,,토이 엔터테인먼트,2008-07-10,개봉영화,장편,한국,132,"308,898,000",47557,"70,781,000","10,193",드라마,15세이상관람가,일반영화,"정웅인, 성지루, 최종원","10062050, 10035882, 10072722","최지연, 최우혁, 이상훈, 박현순, 조현국, 유수영","10072759, 10072532, 20133605, 10029494, 20139847, 20151466",10061970
3161,망치,안태근,캐릭터플랜,,스폰지,2004-08-06,개봉영화,장편,한국,0,0,47502,0,"12,320",애니메이션,전체관람가,일반영화,"김용준, 표영재, 최석필","10005137, 10084095, 10072315",,,10043790
3166,작은 연못,이상우,유한회사 제이필름,,,2010-04-15,개봉영화,장편,한국,80,"317,197,695",47160,"137,962,500","21,003",드라마,15세이상관람가,독립/예술영화,"문성근, 전혜진, 김뢰하, 강신일, 박광정, 민복기, 김승욱, 신명철, 이대연, 임산","10026716, 20112423, 10004034, 10000736, 10028464, 10027806, 20112425, 10040351, 10055086, 20154014","강경희, 유해진, 김동화, 조미라, 민경민, 민정기, 이지원, 윤영민, 김지현, 민성욱, 최덕문, 최종률, 김정영, 박명신, 이승비, 김가영","10000499, 10054128, 20124519, 20130079, 20148625, 20148819, 20151293, 20111884, 20163034, 20111885, 10072168, 10072718, 20113318, 10028600, 10056237, 20144583",20111445
3167,뜨거운 안녕,남택수,"홍필름, 수필름",,나이너스엔터테인먼트,2013-05-30,개봉영화,장편,한국,172,"315,291,000",47105,"120,055,000","17,164",드라마,12세이상관람가,일반영화,"이홍기, 마동석, 임원희, 백진희, 전민서","20121762, 10021341, 10058708, 10030386, 20171342","심이영, 최권, 이민아, 곽자형","10040880, 20149353, 20111082, 20147111",20129750
3172,비밥바룰라,이성재,영화사김치,,키다리이엔티,2018-01-24,개봉영화,장편,한국,347,"318,986,200",46817,"102,609,200","13,980",코미디,12세이상관람가,일반영화,"박인환, 신구, 임현식, 윤덕용","10029093, 10040262, 10058908, 20289229","김인권, 이채은, 이나라, 최선자, 성병숙","10005410, 10057698, 10057015, 10072327, 10035845",20289230
3175,내 연애의 기억,이권,아이엠티브이,,주식회사 디에스이이디,2014-08-20,개봉영화,장편,한국,182,"358,863,117",46775,"100,877,417","12,559",멜로/로맨스,청소년관람불가,독립/예술영화,"강예원, 송새벽, 박그리나","20066563, 10037095, 10028480","김상현, 김승찬, 박충선","20152980, 20196715, 10029425",10054870
3180,"그래, 가족",마대윤,"청우필름, 26컴퍼니, 에이치에스이디",,월트디즈니컴퍼니코리아 유한책임회사,2017-02-15,개봉영화,장편,한국,361,"350,293,300",46623,"154,192,600","19,381",코미디,12세이상관람가,일반영화,"이요원, 정만식, 이솜, 정준원","10056792, 10061699, 20110323, 20189362","송영재, 윤경호, 박성연","20375271, 20277349, 20316382",10021332
3190,썬데이 서울,박성훈,필름놀이,,시네마서비스,2006-02-09,개봉영화,장편,한국,0,0,46239,0,"9,356",코미디,15세관람가,일반영화,"봉태규, 이청아, 박성빈, 박성빈, 김종언","10031644, 10057730, 10028766, 10028766, 10005691","강굴, 손석인, 손용훈, 조경제, 권종관, 이동협","20129206, 10036846, 10036885, 20124814, 20143459, 10055178",20066783
3197,된장,이서군,필름있수다,,"CJ ENM, GV 엔터테인먼트",2010-10-21,개봉영화,장편,한국,112,"339,506,355",45896,"102,398,500","13,031",미스터리,12세이상관람가,일반영화,"류승룡, 이요원, 이동욱, 김용선","10019065, 10056792, 20111341, 10005118","유승목, 장준녕, 조성하, 이용녀, 박충선, 박혜진, 남정희","10053771, 20236946, 10065946, 20113303, 10029425, 20139497, 10007583",10055934
3202,족구왕,우문기,광화문시네마,,KT&G 상상마당 영화사업팀 컴퍼니에스에스,2014-08-21,개봉영화,장편,한국,58,"359,688,000",45701,"215,590,700","26,552",코미디,15세이상관람가,독립/예술영화,"안재홍, 황승언, 황미영","10043631, 10090163, 20239407","강봉성, 박호산, 이세랑","20125249, 20291569, 10056072",20112191
3203,설계,박창진,율,,팝엔터테인먼트,2014-09-18,개봉영화,장편,한국,257,"347,188,800",45638,"77,155,100","9,665",스릴러,청소년관람불가,일반영화,"신은경, 오인혜, 강지섭, 이기영","10040543, 20170184, 20189428, 20122862","강희, 서우진, 정희태","10000975, 20237567, 10062493",20179021
3205,미운오리새끼,곽경택,트리니티엔터테인먼트,,롯데쇼핑롯데엔터테인먼트,2012-08-30,개봉영화,장편,한국,167,"308,009,500",45454,"97,649,000","13,964",드라마,15세이상관람가,일반영화,"김준구, 오달수","20125805, 10050151","정예진, 황성준, 조민준","20179742, 10090135, 20308890",10001931
3207,스페어,이성한,필름더데이즈,,필름더데이즈,2008-08-28,개봉영화,장편,한국,62,"299,701,000",45290,"108,299,000","15,836",액션,15세이상관람가,일반영화,"정우, 임준일, 김수현","10062023, 10058798, 10004777","최해철, 박지영, 주성호, 강홍렬, 서유진, 김상구, 유상섭, 곽진석, 전재영, 정성훈, 심원철, 조진웅, 하성광, 곽진석","10072861, 20137051, 20141937, 20145461, 20133536, 20147305, 10053695, 10002019, 20155265, 20125953, 10040869, 10067353, 10086945, 20346873",10056055
3217,북촌방향,홍상수,영화제작전원사,,영화제작전원사,2011-09-08,개봉영화,장편,한국,24,"359,513,700",44824,"286,745,700","34,806",드라마,청소년관람불가,독립/예술영화,"김보경, 김상중, 유준상, 송선미, 김의성","10004317, 10004437, 10053981, 10037099, 10005383","백종학, 기주봉, 백현진","10030375, 10003307, 20066616",10089497
3232,성실한 나라의 앨리스,안국진,한국영화아카데미,,CGV아트하우스,2015-08-13,개봉영화,장편,한국,69,"349,482,500",43964,"175,441,700","21,590",드라마,청소년관람불가,독립/예술영화,"이정현, 이준혁","10057329, 10057492","이해영, 서영화, 명계남, 오광록, 이대연, 박은영, 배제기, 지대한","20164537, 20067819, 10026039, 10050043, 10055086, 20065114, 20100604, 10069842",20112403
3233,혈투,박훈정,영화사비단길,,싸이더스,2011-02-24,개봉영화,장편,한국,169,"329,280,000",43947,"93,141,000","11,662",액션,15세이상관람가,일반영화,"박희순, 진구, 고창석","10029595, 10070417, 10001779","장희진, 전국환, 최일화","10060683, 10061228, 10072645",10029578
3235,범죄의 여왕,"이요섭, 김태곤",광화문시네마,,"콘텐츠판다, TCO더콘텐츠온",2016-08-25,개봉영화,장편,한국,270,"343,663,400",43823,"129,520,200","16,136",스릴러,15세이상관람가,독립/예술영화,"박지영, 조복래, 김대현","20110875, 20203246, 20111828","허정도, 백수장, 강진아, 이성욱, 정민성, 오창경","20213266, 10030313, 20238069, 20313792, 10061749, 10050794","20162031, 10006078"
3237,우리별 일호와 얼룩소,장형윤,지금이 아니면 안돼,,인디플러그,2014-02-20,개봉영화,장편,한국,209,"288,773,500",43674,"92,386,000","13,219",애니메이션,전체관람가,독립/예술영화,"유아인, 정유미","10053802, 10062071",황석정,10090114,10060635
3241,약장수,조치언,26컴퍼니,,"대명문화공장, 나이너스엔터테인먼트",2015-04-23,개봉영화,장편,한국,282,"313,238,400",43562,"94,969,000","13,043",드라마,15세이상관람가,일반영화,"김인권, 박철민, 이주실","10005410, 20110935, 10057435","박혜진, 장소연, 김기연","20139497, 10060279, 20148026",20138384
3245,"여자, 정혜",이윤기,엘제이필름,,쇼박스,2005-03-10,개봉영화,장편,한국,0,0,43457,0,"27,319",드라마,15세관람가,독립/예술영화,"김꽃비, 김도연, 황정민, 김혜옥, 김지수","10003756, 10003902, 10090290, 10006385, 10005820","김만철, 조범구, 황경애, 조창호, 안주희, 육상효, 김종원, 박성웅, 이대연, 서동원","20130161, 20130798, 20134948, 20138331, 20139327, 10054185, 20164166, 10028773, 10055086, 20144840",10056949
3247,후회하지 않아,이송희일,청년필름,,CJ ENM,2006-11-16,개봉영화,장편,한국,0,0,43348,0,"30,713",드라마,18세관람가,독립/예술영화,"이영훈, 조현철, 김동욱, 김남길","20111701, 10067455, 10003967, 10003788","정희태, 이승원, 이승철, 정승길","20124774, 20159912, 20160263, 10061920",10056129
3273,극장전,홍상수,영화제작전원사,,영화사청어람,2005-05-26,개봉영화,장편,한국,0,0,41919,0,"30,468",드라마,18세관람가,독립/예술영화,"김상경, 이기우, 엄지원","10004396, 10054943, 10047357","이승아, 강다혜, 김명수, 손숙","10056245, 20129258, 10004062, 10036856",10089497
3279,칠곡 가시나들,김재환,주식회사 단유필름,,"인디플러그, 더 피플",2019-02-27,개봉영화,장편,한국,138,"334,601,400",41448,"108,432,500","12,980",다큐멘터리,전체관람가,독립/예술영화,"박금분, 곽두조, 강금연, 안윤선, 박월선, 김두선, 이원순, 박복형, 주석희, 박근붐","20312895, 20312896, 20312897, 20312898, 20312899, 20312900, 20312912, 20312901, 20312902, 20343776",,,20113064
